Age,Date,Draft Year,Height,Player,Position,Season,Season short,Seasons in league,Team,Real_value,Conference,Weight
24,"Nov 17, 2014",2012,6-3,Damian Lillard,G,2014-2015,2015,2,Portland Trail Blazers,0.5,West,195
24,"Nov 17, 2008",2003,6-8,LeBron James,F,2008-2009,2009,5,Cleveland Cavaliers,0.5,East,250
32,"Nov 17, 2008",1997,6-3,Chauncey Billups,G,2008-2009,2009,11,Denver Nuggets,0.5,West,210
23,"Nov 17, 2002",1999,6-7,Metta World Peace,SF,2002-2003,2003,3,Indiana Pacers,0.5,East,260
23,"Nov 17, 2002",1998,6-10,Rashard Lewis,F,2002-2003,2003,4,Seattle SuperSonics,0.5,West,235
36,"Nov 17, 1996",1983,6-7,Dale Ellis,GF,1996-1997,1997,13,Denver Nuggets,1,NA,205
26,"Nov 17, 1991",1986,7-0,Brad Daugherty,C,1991-1992,1992,5,Cleveland Cavaliers,1,NA,245
23,"Nov 17, 1985",1985,7-0,Patrick Ewing,C,1985-1986,1986,0,New York Knicks,1,NA,240
27,"Nov 16, 2015",2008,6-8,Nicolas Batum,F,2015-2016,2016,7,Charlotte Hornets,0.5,East,200
25,"Nov 16, 2015",2010,6-11,DeMarcus Cousins,C,2015-2016,2016,5,Sacramento Kings,0.5,West,270
20,"Nov 16, 2009",2009,6-1,Brandon Jennings,G,2009-2010,2010,0,Milwaukee Bucks,0.5,East,170
31,"Nov 16, 2009",1998,7-0,Dirk Nowitzki,PF,2009-2010,2010,11,Dallas Mavericks,0.5,West,245
28,"Nov 16, 2003",1996,6-0,Allen Iverson,G,2003-2004,2004,7,Philadelphia Sixers,0.5,East,165
23,"Nov 16, 2003",2000,6-6,Quentin Richardson,GF,2003-2004,2004,3,Los Angeles Clippers,0.5,West,223
23,"Nov 16, 2003",2000,6-6,Quentin Richardson,GF,2003-2004,2004,3,Los Angeles Clippers,0.5,West,223
25,"Nov 16, 1997",1992,7-1,Shaquille O'Neal,C,1997-1998,1998,5,Los Angeles Lakers,1,NA,325
